Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
4885.173301,1.12E-12,0.00951683,105.0770057,3.24268E+18,1.48E+26,3.85E-01
4883.808534,1.35E-12,0.0117478,85.12232077,2.62687E+18,1.17E+26,3.03E-01
4881.556217,3.00E-11,0.010134,98.67771857,3.04519E+18,3.49E+27,9.08E+00
4879.834774,1.20E-12,0.0104542,95.6553347,2.95192E+18,1.31E+26,3.41E-01
4878.942719,1.02E-12,0.0116231,86.0355671,2.65506E+18,9.07E+25,2.36E-01
4876.764255,9.74E-13,0.0106523,93.87643983,2.89703E+18,1.03E+26,2.67E-01
4876.762692,8.58E-13,0.00889311,112.4466019,3.4701E+18,1.30E+26,3.37E-01
4876.746951,9.73E-13,0.0116131,86.10965203,2.65734E+18,8.64E+25,2.25E-01
4871.98668,3.63E-11,0.00929699,107.5616947,3.31935E+18,5.03E+27,1.31E+01
4870.496011,1.16E-12,0.0109905,90.98767117,2.80788E+18,1.15E+26,2.98E-01
4869.728197,1.18E-12,0.0112594,88.81467929,2.74082E+18,1.11E+26,2.89E-01
4868.214936,8.23E-13,0.0100501,99.5014975,3.07062E+18,9.75E+25,2.54E-01
4866.988846,1.10E-12,0.011994,83.37502084,2.57295E+18,9.11E+25,2.37E-01
4866.081521,1.19E-12,0.0094681,105.6178114,3.25937E+18,1.59E+26,4.13E-01
4860.318609,9.69E-13,0.00899622,111.1577974,3.43033E+18,1.43E+26,3.73E-01
4858.736925,1.13E-12,0.0100454,99.54805184,3.07205E+18,1.35E+26,3.50E-01
4856.508368,1.10E-12,0.0107995,92.59687949,2.85754E+18,1.13E+26,2.94E-01
4855.90729,9.10E-13,0.00893652,111.9003818,3.45325E+18,1.36E+26,3.54E-01
4853.630057,9.99E-13,0.00846039,118.1978609,3.64759E+18,1.67E+26,4.34E-01
4853.3282,1.09E-12,0.00914829,109.3100459,3.37331E+18,1.56E+26,4.05E-01
4853.208394,1.18E-12,0.0106334,94.04329753,2.90218E+18,1.25E+26,3.25E-01
4852.02872,1.77E-11,0.0109388,91.41770578,2.82115E+18,1.77E+27,4.60E+00
4851.665275,9.89E-13,0.0114498,87.33777009,2.69524E+18,9.02E+25,2.35E-01
4851.649527,1.08E-12,0.0114218,87.55187449,2.70185E+18,9.87E+25,2.57E-01
4847.529571,9.83E-13,0.0105448,94.83347242,2.92656E+18,1.06E+26,2.75E-01
4847.520541,1.02E-12,0.0102882,97.19873253,2.99955E+18,1.15E+26,2.99E-01
4846.659355,8.12E-13,0.0119917,83.39101212,2.57345E+18,6.76E+25,1.76E-01
4846.644303,7.19E-13,0.0114653,87.2196977,2.6916E+18,6.55E+25,1.70E-01
4846.269279,1.00E-12,0.0109887,91.00257537,2.80834E+18,9.93E+25,2.58E-01
4846.084103,1.08E-12,0.00984873,101.5359341,3.1334E+18,1.34E+26,3.48E-01
4845.729628,1.07E-12,0.0106521,93.87820242,2.89708E+18,1.13E+26,2.94E-01
4842.818058,1.04E-12,0.0113918,87.78244,2.70897E+18,9.55E+25,2.48E-01
4841.389417,9.84E-13,0.0107082,93.3863768,2.8819E+18,1.03E+26,2.67E-01
4837.702392,7.73E-13,0.0109085,91.67163221,2.82899E+18,7.78E+25,2.02E-01
4835.83643,9.03E-13,0.00933479,107.1261378,3.30591E+18,1.24E+26,3.22E-01
4835.819659,8.98E-13,0.0104202,95.96744784,2.96156E+18,9.90E+25,2.57E-01
4835.557804,9.47E-13,0.010878,91.92866336,2.83692E+18,9.58E+25,2.49E-01
4835.55319,1.01E-12,0.0098805,101.209453,3.12332E+18,1.23E+26,3.21E-01
4835.544998,8.53E-13,0.0108166,92.45049276,2.85302E+18,8.72E+25,2.27E-01
4834.62956,1.12E-12,0.00938262,106.5800384,3.28906E+18,1.52E+26,3.95E-01
4832.416737,9.45E-13,0.0108473,92.18883962,2.84495E+18,9.61E+25,2.50E-01
4832.405878,1.07E-12,0.0104387,95.7973694,2.95631E+18,1.18E+26,3.07E-01
4831.992027,1.08E-12,0.00833525,119.9724063,3.70235E+18,1.86E+26,4.84E-01
4829.665447,1.68E-11,0.010623,94.13536666,2.90502E+18,1.78E+27,4.62E+00
4825.741969,9.72E-13,0.00930114,107.5137026,3.31787E+18,1.34E+26,3.49E-01
4824.312551,9.30E-13,0.00868374,115.1577546,3.55377E+18,1.48E+26,3.84E-01
4823.671802,1.39E-11,0.00951993,105.0427892,3.24162E+18,1.84E+27,4.77E+00
4822.867456,1.22E-12,0.0116084,86.14451604,2.65842E+18,1.08E+26,2.81E-01
4820.591919,1.02E-12,0.0114302,87.48753303,2.69987E+18,9.33E+25,2.43E-01
4819.191233,8.06E-13,0.00849605,117.7017555,3.63228E+18,1.34E+26,3.47E-01
4819.175519,1.00E-12,0.00901493,110.9270954,3.42321E+18,1.48E+26,3.84E-01
4818.282213,1.20E-12,0.0113005,88.49165966,2.73085E+18,1.13E+26,2.94E-01
4815.62605,9.39E-13,0.012109,82.58320258,2.54852E+18,7.66E+25,1.99E-01
4812.586332,9.57E-13,0.00841006,118.9052159,3.66941E+18,1.62E+26,4.21E-01
4811.780922,9.49E-13,0.00815838,122.573354,3.78261E+18,1.71E+26,4.44E-01
4804.882343,1.02E-12,0.00996431,100.3581783,3.09705E+18,1.23E+26,3.21E-01
4803.464705,1.13E-12,0.00998052,100.1951802,3.09202E+18,1.36E+26,3.53E-01
4799.263945,6.33E-11,0.011787,84.83922966,2.61814E+18,5.45E+27,1.42E+01
